key	enmed	demed	demedlatin
head_top	Top of head	Kopfoberseite	Vertex
forehead	Forehead	Stirn	Regio frontalis
temple_left	Left temple	Schläfe links	Regio temporalis links
temple_right	Right temple	Schläfe rechts	Regio temporalis rechts
eye_left	Left eye region	Augenregion links	Regio orbitalis links
eye_right	Right eye region	Augenregion rechts	Regio orbitalis rechts
nose	Nose	Nase	Regio nasalis
cheek_left	Left cheek	Wange links	Regio buccalis links
cheek_right	Right cheek	Wange rechts	Regio buccalis rechts
mouth_chin	Mouth	Mund	Regio oralis
jaw_joint_left	Left jaw joint	Kiefergelenk links	Articulatio temporomandibularis links
jaw_joint_right	Right jaw joint	Kiefergelenk rechts	Articulatio temporomandibularis rechts
ear_left	Left ear	Ohr links	Regio auricularis links
ear_right	Right ear	Ohr rechts	Regio auricularis rechts
head_back	Back of head	Hinterkopf	Regio occipitalis
neck_front	Front of neck	Hals vorne	Regio cervicalis anterior
neck_back	Nape of neck	Nacken	Regio nuchalis
chest_left	Left chest	Brust links	Regio pectoralis links
chest_right	Right chest	Brust rechts	Regio pectoralis rechts
sternum	Breastbone	Brustbein	Regio sternalis
abdomen_upper_left	Upper left abdomen	Oberer Bauch links	Hypochondrium links
abdomen_upper_central	Upper central abdomen	Oberer Bauch Mitte	Regio epigastrica
abdomen_upper_right	Upper right abdomen	Oberer Bauch rechts	Hypochondrium rechts
abdomen_central	Central abdomen	Bauchmitte	Regio umbilicalis
abdomen_lower_left	Lower left abdomen	Unterer Bauch links	Regio iliaca links
abdomen_lower_central	Lower central abdomen	Unterer Bauch Mitte	Regio pubica
abdomen_lower_right	Lower right abdomen	Unterer Bauch rechts	Regio iliaca rechts
groin_left	Left groin	Leiste links	Regio inguinalis links
groin_right	Right groin	Leiste rechts	Regio inguinalis rechts
genital_region	Genital region	Genitalbereich	Regio pudendalis
upper_back_left	Upper back left	Oberer Rücken links	Regio scapularis links
upper_back_right	Upper back right	Oberer Rücken rechts	Regio scapularis rechts
spine_central	Mid back	Mittlerer Rücken	Regio vertebralis
lower_back_left	Lower back left	Unterer Rücken links	Regio lumbalis links
lower_back_right	Lower back right	Unterer Rücken rechts	Regio lumbalis rechts
sacrum	Sacrum	Kreuzbein	Regio sacralis
buttock_left	Left buttock	Gesäß links	Regio glutealis links
buttock_right	Right buttock	Gesäß rechts	Regio glutealis rechts
shoulder_front_left	Shoulder, front left	Schulter vorne links	Regio deltoidea anterior links
shoulder_front_right	Shoulder, front right	Schulter vorne rechts	Regio deltoidea anterior rechts
shoulder_back_left	Shoulder, back left	Schulter hinten links	Regio deltoidea posterior links
shoulder_back_right	Shoulder, back right	Schulter hinten rechts	Regio deltoidea posterior rechts
armpit_left	Armpit left	Achselhöhle links	Regio axillaris links
armpit_right	Armpit right	Achselhöhle rechts	Regio axillaris rechts
upper_arm_front_left	Upper arm, front left	Oberarm vorne links	Regio brachialis anterior links
upper_arm_front_right	Upper arm, front right	Oberarm vorne rechts	Regio brachialis anterior rechts
upper_arm_back_left	Upper arm, back left	Oberarm hinten links	Regio brachialis posterior links
upper_arm_back_right	Upper arm, back right	Oberarm hinten rechts	Regio brachialis posterior rechts
elbow_front_left	Crook of elbow left	Ellenbeuge links	Fossa cubitalis links
elbow_front_right	Crook of elbow right	Ellenbeuge rechts	Fossa cubitalis rechts
elbow_back_left	Elbow left	Ellenbogen links	Regio cubitalis posterior links
elbow_back_right	Elbow right	Ellenbogen rechts	Regio cubitalis posterior rechts
forearm_front_left	Forearm, front left	Unterarm vorne links	Regio antebrachialis anterior links
forearm_front_right	Forearm, front right	Unterarm vorne rechts	Regio antebrachialis anterior rechts
forearm_back_left	Forearm, back left	Unterarm hinten links	Regio antebrachialis posterior links
forearm_back_right	Forearm, back right	Unterarm hinten rechts	Regio antebrachialis posterior rechts
wrist_left	Wrist left	Handgelenk links	Regio carpalis links
wrist_right	Wrist right	Handgelenk rechts	Regio carpalis rechts
hand_palm_left	Palm of hand left	Handfläche links	Palma manus links
hand_palm_right	Palm of hand right	Handfläche rechts	Palma manus rechts
hand_back_left	Back of hand left	Handrücken links	Dorsum manus links
hand_back_right	Back of hand right	Handrücken rechts	Dorsum manus rechts
